Name,Date,Country
Audrey Burns,2025-01-06,Sri Lanka
Jasmine Wolf,2025-01-21,Guam
Morgan Butler,2025-01-31,Fiji
Tyler Myers,2024-12-26,South Africa
Leroy Stewart,2024-11-25,San Marino
Shaun Hester,2025-01-06,United States Virgin Islands
Matthew Watson,2025-01-31,Guinea-Bissau
Rachel Mcclain,2025-01-08,Aruba
Tamara Moran,2025-01-24,Guam
Anthony Bell,2025-01-01,Guadeloupe
David Lopez MD,2024-12-11,Iraq
Ashley Miller,2024-11-26,Tunisia
Andrew Nicholson,2025-02-02,United Kingdom
Ms. Kayla Carr,2025-01-26,Italy
Randy Davis,2025-02-01,Saint Pierre and Miquelon
Casey Reyes,2024-12-02,British Virgin Islands
Mason Booth,2025-01-28,Turkmenistan
Christina Howard,2024-12-19,Denmark
Tony Shaw,2025-01-22,Cocos (Keeling) Islands
Andrew Johnson,2025-02-06,Uruguay
Elizabeth Fischer,2025-01-29,Oman
Jennifer Hughes,2025-02-15,Heard Island and McDonald Islands
Crystal Watts,2025-01-25,Chad
Jose Green,2025-01-02,San Marino
Erin Conley,2025-02-18,Greece
Kyle Baker,2024-12-10,Suriname
Thomas Graves,2024-12-31,Bulgaria
Jennifer Wise,2024-12-05,Slovakia (Slovak Republic)
Rebecca Vega,2025-02-04,North Macedonia
Jason Hansen,2025-02-07,Finland
Melissa Thompson,2025-01-20,United Kingdom
Claudia Graham,2025-01-12,Lebanon
Valerie Burgess,2025-02-12,Svalbard & Jan Mayen Islands
Miguel Leach,2024-12-23,Seychelles
Christopher Casey,2025-01-18,North Macedonia
Rachael Garcia,2024-12-13,Ukraine
Anthony Scott,2025-01-24,Micronesia
Elizabeth Rivera,2025-01-10,Libyan Arab Jamahiriya
Erik Franklin,2025-01-20,Mexico
Betty Colon,2025-01-12,Niger
Crystal Baker,2024-11-23,Guatemala
Richard Young,2024-11-23,Timor-Leste
Michelle Parker,2024-11-23,Armenia
Charles Faulkner,2025-01-08,Serbia
Jenna Pittman,2024-11-26,Palestinian Territory
Becky Koch,2025-02-01,Nigeria
Lauren Morrow,2025-01-02,Sweden
Heather Nguyen,2025-02-07,Japan
Melissa Deleon,2024-12-31,Chile
Lisa Jackson,2024-11-27,Paraguay
Johnny Johnston,2024-12-06,Slovenia
Brandon Vasquez,2024-12-31,Singapore
Kenneth Smith,2025-01-12,Mauritius
Lindsay Jenkins,2024-12-17,Namibia
Mark King,2024-12-15,Guinea
Dawn Alvarez,2024-11-29,Ireland
Andrea Johnson,2025-01-07,Norway
Vanessa Lopez,2025-01-12,French Southern Territories
Jesse Hamilton,2025-01-12,India
Darrell Kennedy MD,2025-01-04,Liechtenstein
Edward Barnett,2025-02-15,Switzerland
Jonathan Jones,2024-12-06,South Africa
Shannon Odonnell,2024-12-31,Slovakia (Slovak Republic)
Christine Jenkins,2024-11-22,Cambodia
Kristin Alvarez,2024-11-25,Switzerland
Steven Rogers,2024-12-13,Benin
Marcus Smith,2024-11-22,Somalia
Phillip Kramer,2025-02-04,Ethiopia
Kimberly Abbott,2024-12-10,Cook Islands
David Alvarez,2025-01-27,Bouvet Island (Bouvetoya)
Kevin Foster,2025-01-08,Bosnia and Herzegovina
Felicia Noble,2024-12-16,Finland
Keith Brown,2024-12-01,Solomon Islands
Kathy Mcguire,2025-02-07,Saint Vincent and the Grenadines
Tracey Stone,2025-01-01,Kyrgyz Republic
Christopher Harvey,2024-11-24,Gambia
John Keith,2024-11-29,Turks and Caicos Islands
Angelica Mcintyre,2024-12-18,Grenada
Mark Brown,2025-01-10,Somalia
Eric Tapia,2024-12-31,Italy
Andre Garcia,2025-01-12,Kyrgyz Republic
Erin Miller,2025-02-11,United Kingdom
Maria Green,2024-12-15,Syrian Arab Republic
James Faulkner DDS,2025-01-18,Gabon
Timothy Velazquez,2024-12-17,Burkina Faso
Christina Black,2024-11-27,French Guiana
John Salinas,2024-12-31,Poland
Rhonda Rodgers,2024-11-22,Samoa
Cody Bullock,2025-01-22,South Georgia and the South Sandwich Islands
Lonnie Stewart,2024-12-28,Brazil
Wendy Martinez,2024-11-23,Australia
Todd Morales,2025-01-21,Moldova
Angelica Ward,2025-01-30,Madagascar
Garrett Valdez,2024-12-10,Cook Islands
John Turner,2025-02-17,Uzbekistan
David Reyes,2024-12-13,Liechtenstein
Brenda Gould,2025-02-15,Guam
Sara Wyatt,2024-11-29,Andorra
Dorothy Ruiz,2024-11-22,British Indian Ocean Territory (Chagos Archipelago)
Alexander Terry,2024-12-01,Lebanon
Adrian Little,2024-12-30,Afghanistan
Jessica Drake,2025-01-25,Lebanon
Alfred Anderson,2024-11-27,Venezuela
Alexandra Perez,2025-02-03,Netherlands Antilles
Kim Nelson,2024-12-14,Denmark
Margaret Ward,2025-01-05,Moldova
Jonathan Keller,2025-01-26,Micronesia
Breanna Bailey,2025-01-25,Anguilla
Gary Sullivan,2025-02-12,Gibraltar
Cassandra Bradford,2025-02-04,Brunei Darussalam
Brandon Smith,2025-01-18,Mongolia
Anita Lopez,2025-01-18,Mauritania
Veronica Hull,2025-01-18,Zambia
David Sanders,2025-01-17,Honduras
John Mckenzie,2025-02-06,Greenland
Jose Arnold,2025-02-06,United States Virgin Islands
Donna Mcfarland,2025-01-01,Netherlands
Kyle Cole,2025-02-18,Spain
Donald Hill,2025-01-02,United States Virgin Islands
James Hoffman,2024-12-18,Kenya
Jeffrey Smith,2025-02-19,Bhutan
Angela Robinson,2025-01-24,Cape Verde
Christian Odonnell,2024-11-27,Monaco
Lisa King,2024-11-28,Japan
Grace Gomez,2025-02-01,Sweden
Roger Cook,2025-02-12,Sudan
Deanna Frey,2025-01-25,Timor-Leste
Stacy Potter,2024-11-22,Slovenia
Jason Carpenter,2025-02-03,Zimbabwe
Cesar Moore,2025-02-08,Romania
Eddie Thompson,2025-01-30,New Zealand
Elizabeth Lyons,2025-01-16,Tokelau
James Delacruz,2025-01-23,Guyana
Jacob Gonzalez,2025-01-25,Antarctica (the territory South of 60 deg S)
David Bullock,2024-12-06,Congo
Christian Gates,2024-12-03,Gambia
Alicia Cochran,2024-12-24,Saint Pierre and Miquelon
Cynthia Osborne,2025-02-03,Brunei Darussalam
Jeffery Young,2024-12-10,Indonesia
Jonathan Clark,2024-11-30,Japan
Amber Reyes,2024-12-20,Comoros
William Clark,2024-12-08,Singapore
Angela Melton,2024-12-30,Saudi Arabia
John Little,2024-12-03,Liechtenstein
Megan Williams,2024-12-15,Liechtenstein
Stacey Payne,2025-01-13,Bahamas
Alyssa Bennett,2025-01-21,Rwanda
Katherine Morales,2025-01-07,Honduras
Lori Cervantes,2025-01-11,Turkey
Michael Lee,2025-01-30,Rwanda
Stacey Baker,2025-01-28,Nicaragua
Johnny Nelson,2024-12-23,Togo
Reginald Smith,2025-01-30,Turkey
Luke Rush,2025-01-22,Jamaica
Lauren Serrano MD,2024-12-10,Nepal
April Wade,2025-02-16,Angola
Amanda Baxter,2025-01-14,Hungary
Kathleen Roberts,2025-01-25,Mauritania
Robin Cuevas,2025-01-26,Brazil
Jenna Wright,2025-02-04,Haiti
Dr. David Dunn PhD,2024-11-25,Australia
Jason Hale,2025-01-14,British Virgin Islands
Brandon Valencia,2025-01-06,Palestinian Territory
Raven Mann,2025-02-05,Romania
Jason Williams,2025-01-13,Guam
Jake Cobb,2024-11-30,Guernsey
Amber Brown,2025-01-30,Guatemala
Michael Gross,2025-01-04,Senegal
Roy Spencer,2024-11-28,French Southern Territories
Jill Johnson,2024-12-01,Greece
Michelle Bowman,2025-02-12,Lithuania
Barry Williams,2024-12-20,Cyprus
Joseph Orozco,2024-12-06,Haiti
Heidi Collins,2025-02-02,Burundi
Vanessa Miller,2024-12-11,Guam
Lauren Austin,2025-01-28,Central African Republic
Bridget Brown,2025-02-11,Cook Islands
Miss Catherine Mcgrath DVM,2024-12-24,Cocos (Keeling) Islands
Kyle Lowery,2024-11-28,Malta
Robert Armstrong,2024-12-04,Ireland
Alexander Hanson,2024-12-11,Guadeloupe
Paula Hart,2025-01-24,Seychelles
Michael Barton,2025-02-17,Egypt
Lisa Buchanan,2024-11-27,Jamaica
Maria Vasquez,2025-02-03,Burkina Faso
Mia Hamilton,2024-12-16,Guam
Heidi Bailey,2024-12-10,Kyrgyz Republic
Jessica Herrera,2024-12-22,Morocco
Karl Myers,2024-12-07,Western Sahara
Joanne Huber,2024-12-04,Kuwait
Jennifer Cooper,2024-12-16,Ukraine
Joanna Barker,2025-02-10,Northern Mariana Islands
Sara Heath,2025-02-06,Ghana
Felicia Foster,2024-12-02,Somalia
Sean Robbins,2025-02-04,Liberia
Anthony Martinez,2024-12-14,Croatia
Felicia Gonzalez,2024-12-23,British Virgin Islands
Jennifer Osborn DDS,2024-12-21,Sweden
Glenn Kaufman,2024-12-04,Burkina Faso
Jennifer Mitchell,2024-12-18,Libyan Arab Jamahiriya
Shawn Gordon,2024-12-30,Finland
Emily Thompson,2025-01-23,Vietnam
Edward Olson,2024-12-26,Aruba
Laura Fisher,2025-02-11,Seychelles
Andrea Lee,2025-01-24,Slovenia
Carol Bailey,2024-12-31,Burundi
Diana Miller,2024-12-11,Bahrain
Kelli Perez,2025-01-12,Turkey
Alexandra York,2024-12-17,Portugal
Tina Martin,2024-11-25,Saint Barthelemy
Kayla Koch,2024-12-06,French Polynesia
Ms. Angela Nolan,2025-02-08,Bahamas
Greg Norris,2025-02-08,Singapore
Denise Nielsen,2025-02-08,Burundi
Anthony Burton MD,2025-01-03,San Marino
Christopher Richardson,2024-12-07,Iceland
Aaron Cook,2024-12-15,Dominica
Henry Manning,2024-12-27,Fiji
Susan Roberson,2025-02-09,New Zealand
Robert Fry,2025-01-03,Colombia
Stacey Anderson,2024-12-11,Palestinian Territory
Daniel Castaneda,2025-02-06,Argentina
Joseph Fischer,2024-12-10,Saint Martin
Jessica Ewing,2025-01-08,Guyana
Kathryn Barrett,2025-01-27,Algeria
Ryan Rogers,2024-11-30,Sierra Leone
David Russell,2025-01-16,Isle of Man
Angela Garcia,2024-12-25,Latvia
Robert Bullock,2024-12-31,Guadeloupe
Cathy Hicks,2025-01-21,Saint Kitts and Nevis
Michael Hansen,2025-01-18,Gabon
Lisa Lewis,2024-12-27,Singapore
Crystal Mahoney,2024-12-18,Philippines
Susan Wells,2024-12-20,Russian Federation
Michelle Estrada,2024-12-25,Mali
Sandra Garcia,2025-02-16,Holy See (Vatican City State)
John Lopez,2024-11-26,Ecuador
Kathy Hunter,2024-12-21,French Guiana
Timothy Weber,2024-11-26,Australia
Mary Herrera,2025-02-05,French Guiana
David Murray,2025-02-11,Heard Island and McDonald Islands
Amy Fisher,2024-12-06,Jersey
Natasha Moore,2025-01-25,Afghanistan
Timothy Odom,2024-11-24,Heard Island and McDonald Islands
Cody Johnson,2025-01-05,Kyrgyz Republic
Andre Sanchez,2025-01-10,Christmas Island
Jenna Foster,2024-12-12,United States Minor Outlying Islands
Catherine Smith,2025-02-03,Christmas Island
Michelle Harmon MD,2024-12-23,Burkina Faso
Jeremy Guerrero,2024-12-16,Syrian Arab Republic
Allison Carrillo,2024-12-02,Turks and Caicos Islands
Raymond Guerrero,2025-01-19,Jamaica
Lisa Fuentes,2024-11-22,Ghana
Ashley Clark,2025-01-31,Saint Pierre and Miquelon
James Bryan,2024-12-20,Guyana
Ronald Dawson,2024-12-09,Norway
Paige Park,2024-12-20,Central African Republic
Scott Ross,2024-12-09,Cameroon
Ronald Thompson,2025-01-10,Malawi
Cathy Jacobs,2025-01-16,Holy See (Vatican City State)
Melinda Carter,2025-02-01,United States Minor Outlying Islands
Luis Ferrell,2024-12-15,Burkina Faso
Sandra Smith,2025-02-07,Denmark
Tina Orr,2024-12-01,Lebanon
Monica Wilkinson,2024-12-24,Vanuatu
David Hernandez,2024-12-26,Cuba
Charles Austin,2025-01-28,Isle of Man
Michael Lin,2025-02-09,Haiti
Diane Lopez,2024-12-02,Norway
Ronald Morales,2025-01-03,French Guiana
Leonard Johnston,2025-02-19,Finland
Mrs. Betty Harrington DDS,2024-11-26,Western Sahara
Donna Santiago,2024-12-02,Saint Helena
Tanya Hurst,2024-12-07,Latvia
Shannon Alvarez,2025-01-09,Russian Federation
Emily Lucero,2024-12-20,Colombia
Robert Johnson,2025-01-21,Nigeria
Steven Key,2025-02-06,Singapore
Juan Jackson,2025-01-15,Cambodia
Anthony Wallace,2025-01-30,Malta
Andrew Reid,2024-12-28,Yemen
Bailey Reed,2025-01-26,Taiwan
Jacob Mcclain,2024-11-27,United Kingdom
Derrick Jackson,2024-12-14,Niue
Eric Yang,2025-01-05,Brunei Darussalam
Emily Hall,2025-01-26,Belgium
Christina Baldwin,2025-01-16,Morocco
Jose Bryan,2024-11-25,Mozambique
Steven Anderson,2024-12-18,Kyrgyz Republic
Caroline Martinez,2025-02-19,Australia
Ashley Holmes,2025-01-13,Holy See (Vatican City State)
Jean Monroe,2025-01-20,Syrian Arab Republic
Emily Hamilton,2024-12-12,Saint Barthelemy
Dustin Powell,2025-01-09,Reunion
Edward Bass,2024-12-23,Philippines
Russell Collins,2024-12-18,Peru
Jamie Shaw,2024-11-23,Bolivia
Todd Livingston,2024-11-28,Mexico
Barry Miller,2025-01-19,Marshall Islands
Diana Diaz,2025-02-07,Norway
Margaret Lopez,2025-01-29,Netherlands
Leslie Walker,2024-12-07,United States Virgin Islands
Hannah Miller,2024-12-03,Togo
Kristine Dixon,2025-01-02,Japan
Heather Gibson,2024-12-15,Tuvalu
Scott Jennings,2025-01-18,Saint Lucia
Mr. Christopher Caldwell,2024-12-10,Papua New Guinea
Alexis Walker,2025-01-13,Ghana
Jonathan Ross,2025-01-28,Papua New Guinea
David Weaver,2025-01-19,Falkland Islands (Malvinas)
Jennifer Hobbs,2025-02-19,Norfolk Island
Shawn Campbell,2025-01-27,Iran
Heidi Jackson,2025-01-21,Holy See (Vatican City State)
Amy Briggs,2024-11-27,Taiwan
Alex Day,2025-01-11,Azerbaijan
James Henderson,2024-12-27,Uruguay
Aaron Mitchell,2024-12-03,Morocco
David Payne PhD,2025-01-25,Mexico
Catherine Ford,2024-12-01,Switzerland
Peggy Warren,2024-12-08,Namibia
Katherine Wilkins,2025-01-29,Ghana
John Lewis,2025-02-11,Saint Lucia
Melissa Robinson,2025-02-06,Marshall Islands
Katie Vazquez,2025-02-03,Venezuela
Michele Rios,2025-02-16,Bermuda
David Reilly,2024-12-07,United States Virgin Islands
Ashley Castillo,2024-11-30,Algeria
Cody Johnson,2024-12-06,Slovenia
Justin Thomas,2024-12-09,Jersey
Erin Lewis,2024-12-26,Bangladesh
Evelyn Reed,2025-02-18,Tuvalu
Thomas Fuentes,2024-12-12,Timor-Leste
Mr. Omar Smith,2024-12-25,El Salvador
Brian Barnes,2024-12-01,Lesotho
Russell Schwartz,2024-12-15,Poland
Kimberly Miller,2024-11-26,Liechtenstein
Jody Barnes,2024-12-23,Saint Kitts and Nevis
Theresa Buck,2025-01-20,Canada
Mark Thomas,2024-11-30,Estonia
Shawn Cisneros,2024-11-30,Kiribati
Carol Gonzalez,2025-01-15,Sao Tome and Principe
Pamela Price,2025-01-31,Afghanistan
Brent Tyler,2024-12-01,Nigeria
Dr. Sue Green,2025-02-14,Sweden
Harry Kennedy,2025-02-19,Jersey
Christopher Johnson,2025-01-26,Saint Barthelemy
Tiffany Riddle,2025-02-10,France
Robert Charles,2024-12-16,Netherlands Antilles
Betty Galloway,2025-01-23,Tanzania
Penny Gomez,2024-11-26,Singapore
Amy Rosales,2025-01-23,Panama
Courtney Stewart,2025-01-24,Trinidad and Tobago
Stephanie Sutton,2025-01-02,Bosnia and Herzegovina
James Cisneros,2025-01-06,Gabon
Karen Nguyen,2024-11-29,Netherlands
Rick Winters,2024-12-09,Martinique
Anthony Garner,2024-11-29,Tonga
Matthew David,2024-12-12,Botswana
Jennifer Johnson,2024-12-26,Syrian Arab Republic
Michelle Simmons,2024-12-01,Saudi Arabia
William Smith,2024-12-25,Montenegro
Jason Reed,2024-12-18,Svalbard & Jan Mayen Islands
Christopher Johnson,2025-01-24,Somalia
Brooke Cantrell,2025-02-12,Swaziland
Justin Taylor,2024-12-02,Peru
Megan Thompson,2025-01-30,Saint Vincent and the Grenadines
Mr. Jesse Wyatt,2024-12-17,Christmas Island
Julia Hensley,2025-02-04,Saint Pierre and Miquelon
Wesley Villanueva,2024-12-14,British Indian Ocean Territory (Chagos Archipelago)
Arthur Martinez,2025-01-25,Nauru
Jacqueline Warner,2025-01-25,Iraq
Tony Riley,2025-02-17,Guernsey
Karen Wilkinson,2025-02-03,Venezuela
Laura Alvarado,2024-12-09,Paraguay
Donna Gilmore,2024-11-26,Haiti
Donald Parker,2024-12-13,Singapore
Jessica Allen,2024-12-27,Ecuador
Blake Yates,2025-02-01,Norway
Kelly Hammond,2024-12-17,Croatia
Jennifer Gamble,2025-01-01,Taiwan
Dana Thompson,2025-01-30,United States Minor Outlying Islands
April Hobbs,2025-01-23,Ukraine
Dr. Lonnie Green MD,2025-02-12,Pakistan
Anthony Sweeney,2024-12-22,Niue
Alexander Osborne,2024-11-23,Solomon Islands
Timothy Alexander,2025-01-16,Israel
Erik Kramer,2024-12-27,Isle of Man
Meghan Scott,2025-01-27,Uzbekistan
Kevin Payne,2025-01-08,El Salvador
Gary Rosario,2025-02-14,Palau
Lori Dunn,2024-12-13,Ireland
Anthony White,2024-11-22,Montenegro
Jonathan David,2025-02-01,Western Sahara
Ashley Smith,2024-11-28,Bouvet Island (Bouvetoya)
Brad Ayers,2025-01-28,Nicaragua
Jason Johnson,2025-01-10,Ireland
Miss Hannah Cole,2025-01-14,Reunion
Michael Bowman MD,2025-01-15,Tuvalu
James Stevens,2024-12-18,Portugal
Cynthia Turner,2025-02-17,Czech Republic
Daniel Hess,2025-01-14,Chad
Renee Riddle,2024-12-21,Macao
Joshua Miles,2025-01-22,Macao
Adam Perry,2025-02-07,Sudan
Jesse Jones,2024-12-06,Costa Rica
Ricky Reynolds,2024-12-22,Svalbard & Jan Mayen Islands
Jeffrey Sheppard,2024-12-16,Nepal
Laura Garcia,2025-01-17,South Africa
Casey Bradley,2025-01-11,Bouvet Island (Bouvetoya)
John Salas,2024-12-20,Paraguay
Michael Carroll,2025-01-23,Czech Republic
Alexis Lee,2024-11-23,United States Virgin Islands
Scott Roy,2024-12-22,Angola
Linda Huynh,2024-12-20,Maldives
Kathryn Vazquez,2024-12-09,Australia
Leslie Armstrong,2025-01-09,Turkmenistan
Alicia Leon,2025-01-14,Myanmar
James Hall,2024-12-29,Maldives
Deborah Ramirez,2025-02-17,Botswana
Crystal Meyer,2025-02-13,Lebanon
Erin Vaughn,2025-01-27,Trinidad and Tobago
Christopher Weber,2024-12-16,Pitcairn Islands
Katelyn Jenkins,2025-01-08,Liberia
Lori Stephens,2025-01-26,Aruba
Grace Hunt,2024-12-03,Saint Helena
Robert Brown,2025-02-02,United States of America
Richard Fisher,2025-02-01,Estonia
Sandra Vasquez,2024-12-08,Algeria
Stephanie Phillips,2025-01-08,Iceland
Jerry Garcia,2024-12-30,Benin
Marcus Stewart,2024-11-25,Haiti
Gary Marquez,2025-01-02,United States Virgin Islands
Nicole Davis,2025-01-19,Algeria
Troy Leblanc DVM,2025-01-10,Faroe Islands
Erin Solis,2024-11-25,Uganda
William Wang,2025-01-16,Netherlands Antilles
Anthony Norman,2024-11-26,Afghanistan
Debra Todd,2025-02-14,Liberia
Katherine Warren,2025-01-14,Palau
Connie Dixon,2025-02-14,Cameroon
Phillip Powell,2024-12-19,Niger
Dakota Ball MD,2025-01-06,United States Minor Outlying Islands
Rose Ford,2025-02-04,Lithuania
Michael Gonzalez,2025-01-10,Cayman Islands
Diane Howell,2024-12-07,Oman
Samuel Clark,2024-12-15,Sao Tome and Principe
Corey Rodriguez,2025-01-12,Iraq
Holly Espinoza,2025-02-08,Luxembourg
Erik Murphy,2025-01-29,Turks and Caicos Islands
Laurie Osborne,2025-02-09,Israel
Nicole Price,2024-12-13,Haiti
Michael Thompson,2024-12-27,Gambia
Karla Taylor,2024-11-23,Faroe Islands
Kristen Contreras,2025-02-01,Korea
Tyler Evans,2025-02-09,South Africa
Kelsey Cardenas,2024-12-26,Saint Barthelemy
Kyle Peterson,2024-12-03,Malaysia
Dr. Carrie Taylor,2024-11-29,Guadeloupe
Adam Fuentes,2025-01-08,Niue
Karen Davis,2025-01-23,United States Virgin Islands
Christopher Young,2025-02-17,Lebanon
Mark Acosta,2025-01-11,Guyana
Paul Taylor,2024-11-29,Ecuador
Sara Garcia,2024-12-11,Papua New Guinea
Andrew Jones,2024-12-30,Congo
Elizabeth Wilson,2024-12-23,Germany
Hannah Anderson,2024-12-17,Slovakia (Slovak Republic)
Kerry Murphy,2024-12-13,Latvia
Mary Brown,2025-01-28,French Southern Territories
Lisa Burns,2024-12-15,Jersey
Eric Welch,2024-11-30,Tajikistan
Matthew Diaz,2025-01-11,United Kingdom
Brandy English,2024-12-18,Turkey
Lori Garrett,2024-12-12,Chad
Linda Farmer,2025-01-21,Vanuatu
David Mercado,2024-12-10,Northern Mariana Islands
Monica Williams,2025-02-11,Fiji
Max Martin,2025-01-27,United States Minor Outlying Islands
Jason Bennett,2024-12-05,Zimbabwe
Michael Esparza,2025-02-16,India
Megan Rangel,2024-12-29,Grenada
Brian Yates,2025-01-07,Brazil
Pamela Thompson,2025-01-03,Colombia
Tiffany Kim,2024-12-20,British Virgin Islands
Jermaine Brown,2024-12-01,Slovenia
Gabriela Smith,2024-12-20,Fiji
Ashley Russell,2024-12-26,Tajikistan
Jacqueline Johnson,2024-11-25,Mayotte
Brian Palmer,2024-12-20,Sri Lanka
Mark Russo,2025-01-23,Tokelau
Sheila Carlson,2025-01-29,Chile
Cody Smith,2025-02-14,Marshall Islands
Rachael Hughes,2024-12-10,Luxembourg
Jeanne Holmes,2025-01-11,South Georgia and the South Sandwich Islands
Brian Bailey,2024-12-17,Dominica
Samantha Hays,2024-12-07,Peru
Patricia Suarez,2024-12-12,Algeria
Pamela Gutierrez,2024-12-23,Netherlands
Jon Case,2024-11-26,Trinidad and Tobago
Derrick Moore,2024-12-03,Macao
Johnathan Thomas,2025-01-02,Latvia
Roy Miller,2024-12-08,Equatorial Guinea
Richard Roman,2025-01-03,Eritrea
Kevin Hart,2025-02-04,Congo
Alex White,2024-12-10,Georgia
Alyssa Roy,2025-01-30,Slovenia
Amanda Wong,2024-12-12,Rwanda
Tracy Shah,2024-12-04,Costa Rica
Carlos Johnson,2025-01-24,Benin
Amanda Perez,2024-12-03,Cuba
Pamela Shannon,2025-02-14,Armenia
Kristen Sullivan,2025-01-21,Somalia
Shelby Ali,2025-02-11,China
Tasha Spence,2025-01-01,Antarctica (the territory South of 60 deg S)
Marc Hess,2024-12-11,Timor-Leste
Charles Cook,2024-12-21,Honduras
Heather Turner,2024-11-30,Saint Vincent and the Grenadines
Isaac Guerrero,2024-12-10,Norway
Ruben Brooks,2025-02-18,Saint Lucia
Charles Gonzalez,2025-02-02,Saint Martin
Rebecca Hayes,2025-01-07,Bosnia and Herzegovina
Dawn Patterson,2024-12-04,Hungary
Deanna Oliver,2024-12-03,Germany
Andrew Sanchez,2024-12-24,British Virgin Islands
Timothy Vaughn,2024-12-07,Uganda
Sabrina Johnson,2025-01-05,Slovenia
Scott Jones,2025-02-15,Bermuda
Matthew Mccormick,2025-01-12,Kyrgyz Republic
Susan Jones,2025-02-13,Liechtenstein
Kathryn Mccarthy,2025-01-26,Puerto Rico
Michelle Smith,2025-02-02,Luxembourg
Timothy Wilson,2024-12-10,Guinea
Justin Larson,2025-01-17,Bulgaria
Katelyn Norman,2025-01-07,Cote d'Ivoire
Deborah Pineda,2025-02-09,Saint Barthelemy
Suzanne Jones,2025-01-17,Taiwan
Michelle Atkins,2024-12-29,Cameroon
Patricia Miller,2024-11-27,Saint Lucia
Joseph Brooks,2025-02-17,Mali
Misty Morgan,2024-12-14,Chile
Kimberly Baxter,2024-12-17,North Macedonia
Jennifer Little,2025-01-30,Guernsey
Amanda Serrano,2025-02-11,New Zealand
Louis Johnson,2025-01-09,Jamaica
Jason Rogers,2025-02-03,Kazakhstan
Patricia Paul,2024-12-06,Turkmenistan
Tracy Sullivan,2024-12-19,Mongolia
Linda Smith,2025-02-05,Montserrat
Tammy Boyd,2025-02-19,Bhutan
Melissa Lynch,2025-01-05,Australia
Timothy Blackwell,2024-12-06,Marshall Islands
Richard Thompson,2024-11-25,Singapore
Mark Graham,2024-12-14,French Guiana
Caitlin Anderson,2025-01-23,Malawi
Timothy Smith,2024-12-29,Burkina Faso
Jaime Baker,2024-12-28,Kazakhstan
Briana Ellis,2025-02-04,Central African Republic
Calvin Rivera,2025-01-11,Mauritius
David Anderson,2024-12-04,Saint Martin
Darryl Garcia,2025-02-07,Malawi
Melissa Rodriguez,2025-02-05,Micronesia
William Wolfe,2025-01-30,Aruba
Ryan Young,2024-12-18,Martinique
Kevin Foster,2025-01-29,United States Minor Outlying Islands
Bob Mitchell,2025-02-13,Belgium
Scott Davis,2025-01-09,Paraguay
Sarah Fisher,2024-11-23,Palestinian Territory
Stephen Hutchinson,2024-12-24,Falkland Islands (Malvinas)
Courtney Johnson,2025-02-04,Yemen
Heather Hernandez,2025-01-19,Cameroon
Timothy Watkins Jr.,2025-02-08,Timor-Leste
Blake Kim,2025-02-03,Yemen
Kelly Wall,2025-02-17,Czech Republic
Jennifer Ford,2024-12-09,Western Sahara
Lori Rodriguez,2024-12-17,Turkmenistan
Lauren Robinson,2024-12-10,Mauritania
Timothy Anderson,2025-02-09,Malta
Matthew Fields,2024-12-24,Malta
Daniel Knight,2025-01-14,American Samoa
Monica Spears,2025-02-19,Bouvet Island (Bouvetoya)
Brian Davis,2024-12-21,Maldives
Andrew Hughes,2025-01-09,Jamaica
David Phillips,2024-11-29,Reunion
Edward Cooley,2025-01-16,Nauru
William Anderson,2024-12-03,Mayotte
Benjamin Buckley,2025-02-04,Latvia
George Hernandez,2024-11-24,Gambia
Holly Guerrero,2025-02-07,Sao Tome and Principe
Mr. Jeffrey Thompson,2025-02-17,Western Sahara
Ana Rice,2024-12-24,Mauritius
Dawn Jimenez,2025-01-10,Uruguay
Sarah Nichols,2025-02-07,Jersey
Shannon Smith,2024-12-18,Canada
Shane Ortiz,2025-01-20,Kiribati
Christina Gibson DVM,2024-12-05,Denmark
Dean Villegas,2025-01-05,Barbados
Anthony Curtis,2024-12-26,Micronesia
Gina Henry,2024-12-26,Argentina
Vincent Nelson,2024-12-28,Taiwan
Dr. Elizabeth Parker,2025-01-18,Maldives
Brian Thompson,2025-01-08,Burkina Faso
Dillon Ali,2024-12-16,Bhutan
Jeffrey Lewis,2024-12-29,Poland
Robert Munoz,2025-01-22,Guinea
Christopher Browning,2025-01-15,United States Virgin Islands
David Steele,2024-12-06,Namibia
Marie Mccormick,2025-01-05,Libyan Arab Jamahiriya
Gabriel Hickman,2024-12-01,Kyrgyz Republic
Megan Snyder,2024-12-14,Dominica
Jessica Frost,2025-02-01,Puerto Rico
Jonathan Taylor,2025-01-03,Lebanon
Angela Thomas,2024-12-17,Seychelles
Kristina Campbell,2024-12-04,Sao Tome and Principe
Leslie Tran,2025-01-27,Reunion
Michael Peterson,2024-12-19,Indonesia
Robert Gutierrez,2025-01-25,Guam
Kenneth Hernandez,2024-12-08,French Southern Territories
Stephen Reid,2025-01-17,Cameroon
Anthony Daniels,2024-12-07,India
Jill Harding,2025-01-06,Romania
Angela Lee,2025-02-16,Isle of Man
Kayla Cherry,2025-01-13,India
James Hill,2024-12-04,Turks and Caicos Islands
Anthony Roberts,2024-11-27,Slovakia (Slovak Republic)
Jennifer Hess,2025-01-26,Papua New Guinea
Brian Hays,2024-11-30,Central African Republic
Anita Krause,2024-12-13,Marshall Islands
Gregory Watson,2024-12-25,Peru
